year,area,prod,cons,yield_shock,cpi,fut_price,spot_price,ln_qs,ln_fp,ln_qd,ln_sp,ln_w,trendsp1,trendsp2,trendsp3,lag_ln_w
1959,NA,NA,NA,NA,29.41,172.8006,180.0543,NA,NA,NA,1.811923719,NA,1959,0,0,NA
1960,NA,NA,NA,NA,29.81,180.2734,178.149,NA,1.770804,NA,1.787776371,NA,1960,0,0,NA
1961,448.9531,2082.273,2078.796,0.9579167,30.01,193.4114,190.0302,7.641215,1.799631,7.639544159,1.845652347,-0.0429945,1961,0,0,NA
1962,454.3259,2197.028,2175.928,0.9818614,30.38,188.241,192.0839,7.69486,1.863289,7.685210519,1.844147759,-0.0183052,1962,0,0,-0.0429945
1963,459.1086,2261.139,2251.935,0.970642,30.88,192.9098,213.4928,7.723624,1.823938,7.719545126,1.933494383,-0.0297975,1963,0,0,-0.0183052
1964,475.2015,2398.932,2368.149,0.9853099,31.25,183.9338,193.2165,7.782779,1.832114,7.769863916,1.821791946,-0.0147991,1964,4.165e-4,0,-0.0297975
1965,474.3052,2408.227,2520.843,0.9701527,31.85,191.358,187.5418,7.786646,1.772557,7.832348648,1.772964372,-0.0303018,1965,0.0033319,0,-0.0147991
1966,479.2228,2633.215,2564.836,1.022032,32.92,207.9107,215.9935,7.875961,1.793109,7.849649818,1.881167939,0.0217928,1966,0.0112453,0,-0.0303018
1967,487.8571,2747.748,2651.564,1.015698,34,195.1853,185.3843,7.918537,1.8430280000000001,7.882904934,1.696070443,0.0155761,1967,0.0266556,0,0.0217928
1968,494.6923,2836.193,2746.677,1.022207,35.6,175.7348,176.7559,7.950218,1.747589,7.918147096,1.602424047,0.0219636,1968,0.0520616,0,0.0155761
1969,489.1228,2850.263,2838.261,1.013603,37.7,178.06,177.7843,7.955166,1.59663,7.95094682,1.550910923,0.0135114,1969,0.0899625,0,0.0219636
1970,483.4539,2910.976,3009.116,1.016243,39.8,210.3653,219.1906,7.976243,1.552461,8.009401627,1.706074759,0.0161122,1970,0.1428571,0,0.0135114
1971,496.6671,3193.05,3084.997,1.047233,41.1,208.7831,213.4001,8.068731,1.664979,8.034305964,1.647160686,0.0461512,1971,0.2132445,0,0.0161122
1972,492.6322,3141.328,3225.317,1.019056,42.5,255.3594,271.2646,8.052401,1.625288,8.078786519,1.853590652,0.0188763,1972,0.3036235,0,0.0461512
1973,510.2824,3384.199,3303.852,1.032455,46.3,459.951,457.5477,8.126872,1.793168,8.102844339,2.29073918,0.0319393,1973,0.4164931,0,0.0188763
1974,516.2585,3274.89,3280.156,0.9563851,51.9,512.445,572.1708,8.09404,2.295978,8.095646261,2.400118758,-0.0445946,1974,0.5543523,0,0.0319393
1975,528.5949,3507.167,3390.005,0.9784853,55.6,394.2897,373.8012,8.162564,2.289875,8.128586675,1.905540904,-0.0217495,1975,0.7197001,0,-0.0445946
1976,537.655,3676.842,3497.51,0.9842561,58.4,420.8706,420.9865,8.209809,1.958903,8.159806566,1.975284877,-0.0158691,1976,0.9150354,0,-0.0217495
1977,539.5477,3764.772,3701.084,0.9813639,62.3,395.9616,384.1339,8.233442,1.97501,8.216381029,1.819029764,-0.0188119,1977,1.142857,0,-0.0158691
1978,544.2605,4074.004,3913.566,1.029564,67.9,448.2382,447.575,8.312382,1.849356,8.272204258,1.885808087,0.029135,1978,1.405664,0,-0.0188119
1979,543.8876,4126.842,4054.114,1.015339,76.9,538.9537,474.1438,8.325268,1.887289,8.307487447,1.819004775,0.0152228,1979,1.705956,1.79e-5,0.029135
1980,558.0877,4131.492,4204.111,0.9740869,86.4,596.6383,617.0655,8.326394,1.947124,8.343818135,1.965987501,-0.0262548,1980,2.046231,0.0010247,0.0152228
1981,562.5837,4398.472,4234.08,1.005714,94.1,491.6591,454.7534,8.389012,1.932323,8.350921346,1.575397247,0.0056976,1981,2.428988,0.0054052,-0.0262548
1982,556.8294,4536.648,4383.193,1.025356,97.7,431.0972,393.3983,8.419944,1.653428,8.385532733,1.392921026,0.0250397,1982,2.856726,0.0156582,0.0056976
1983,540.0197,4251.469,4494.724,0.9939284,101.4,476.5446,542.3117,8.35502,1.484432,8.410659543,1.676767837,-0.0060901,1983,3.331945,0.0342827,0.0250397
1984,555.7173,4764.896,4603.631,1.031194,105.5,439.3279,432.4392,8.469031,1.547488,8.434600619,1.410730786,0.0307178,1984,3.857143,0.0637777,-0.0060901
1985,557.3156,4898.778,4630.47,1.03424,109.5,373.9705,383.747,8.496741,1.426535,8.440413654,1.254058932,0.033667,1985,4.434819,0.1066422,0.0307178
1986,555.9227,4932.488,4783.259,1.031927,110.8,331.5686,334.7048,8.503599,1.228252,8.472877392,1.105522175,0.0314277,1986,5.067472,0.165375,0.033667
1987,544.3932,4783.23,4938.743,1.009167,115.6,391.0618,369.5983,8.472872,1.096108,8.504866124,1.162280784,0.0091248,1987,5.757601,0.2424752,0.0314277
1988,549.6513,4646.922,4939.285,0.9576549,120.7,486.0321,518.3694,8.44396,1.21873,8.504975863,1.457379987,-0.0432678,1988,6.507705,0.3404417,0.0091248
1989,566.1505,5144.159,5061.826,1.003704,126.3,434.2351,423.6644,8.545617,1.392967,8.529482567,1.210281603,0.0036973,1989,7.320283,0.4617734,-0.0432678
